index,Order ID,Date,Status,Fulfilment,Sales Channel ,ship-service-level,Style,SKU,Category,Size,ASIN,Courier Status,Qty,currency,Amount,ship-city,ship-state,ship-postal-code,ship-country,promotion-ids,B2B,Promoted,Promotion_Type
1767,405-9954704-7596311,2022-04-29,Shipped,Amazon,Amazon.in,Expedited,J0230,J0230-SKD-S,Set,S,B08XNJ19QH,Shipped,1,INR,1146.0,VIJAYAWADA,ANDHRA PRADESH,520008.0,IN,,False,0,No Promotion
1768,407-7452730-8781957,2022-04-29,Shipped,Amazon,Amazon.in,Expedited,JNE3721,JNE3721-KR-M,kurta,M,B099FC9KR1,Shipped,1,INR,329.0,MAHNAR BAZAR,BIHAR,844504.0,IN,Duplicated A12RHGVGRWOT3S 1560498941486,False,1,Other Promotion
1769,405-4802278-1130767,2022-04-29,Shipped,Amazon,Amazon.in,Expedited,JNE3640,JNE3640-TP-N-XXL,Top,XXL,B08ZHWQWSX,Shipped,1,INR,518.0,CHANDIGARH,CHANDIGARH,160014.0,IN,IN Core Free Shipping 2015/04/08 23-48-5-108,False,1,Free Shipping
1770,405-6118267-4453135,2022-04-29,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,SET302,SET302-KR-PP-XXXL,Set,3XL,B09RKDPBQV,Shipped,1,INR,939.0,HAZARIBAGH,JHARKHAND,825301.0,IN,"Amazon PLCC Free-Financing Universal Merchant AAT-WNKTBO3K27EJC,Amazon PLCC Free-Financing Universal Merchant AAT-QX3UCCJESKPA2,Amazon PLCC Free-Financing Universal Merchant AAT-5QQ7BIYYQEDN2,Amazon PLCC Free-Financing Universal Merchant AAT-DSJ2QRXXWXVMQ,Amazon PLCC Free-Financing Universal Merchant AAT-CXJHMC2YJUK76,Amazon PLCC Free-Financing Universal Merchant AAT-CC4FAVTYR4X7C,Amazon PLCC Free-Financing Universal Merchant AAT-XXRCW6NZEPZI4,Amazon PLCC Free-Financing Universal Merchant AAT-EOKPWFWYW7Y6I,Amazon PLCC Free-Financing Universal Merchant AAT-ZYL5UPUNW6T62,Amazon PLCC Free-Financing Universal Merchant AAT-N6QGG4HRHN6T4,Amazon PLCC Free-Financing Universal Merchant AAT-PZHUW6DZX4BPS,Amazon PLCC Free-Financing Universal Merchant AAT-ETXQ3XXWMRXBG,Amazon PLCC Free-Financing Universal Merchant AAT-7X3XCTYG64VBE,Amazon PLCC Free-Financing Universal Merchant AAT-7CHGD3WTS3MHM,Amazon PLCC Free-Financing Universal Merchant AAT-26ZDKNME27X42,Amazon PLCC Free-Financing Universal Merchant AAT-4ZF5KN6E4LJK4,Amazon PLCC Free-Financing Universal Merchant AAT-7RCXIKUAX7DDY,Amazon PLCC Free-Financing Universal Merchant AAT-BRSZZ45H6MHAO,Amazon PLCC Free-Financing Universal Merchant AAT-MKLXOOZWQL7GO,Amazon PLCC Free-Financing Universal Merchant AAT-CB7UNXEXGIJTC,Amazon PLCC Free-Financing Universal Merchant #MP-gzasho-1593152694811,Amazon PLCC Free-Financing Universal Merchant AAT-WLBA4GZ52EAH4",False,1,Amazon Financing
1771,408-7024102-0680315,2022-04-29,Shipped,Amazon,Amazon.in,Expedited,JNE3645,JNE3645-TP-N-XL,Top,XL,B08ZHQ7W7T,Shipped,1,INR,460.0,PATNA,BIHAR,800014.0,IN,,False,0,No Promotion
1772,404-2594413-5562732,2022-04-29,Cancelled,Merchant,Amazon.in,Standard,JNE3763,JNE3763-KR-L,kurta,L,B09K3ZQ6DQ,Cancelled,0,INR,411.43,Vizianagaram a,ANDHRA PRADESH,535240.0,IN,,False,0,No Promotion
1773,403-5152956-3093925,2022-04-29,Cancelled,Amazon,Amazon.in,Expedited,SET347,SET347-KR-NP-XL,Set,XL,B09RKFRBJB,Cancelled,0,INR,,NEW DELHI,DELHI,110095.0,IN,,False,0,No Promotion
1774,403-6221024-0434733,2022-04-29,Shipped,Amazon,Amazon.in,Expedited,JNE3630,JNE3630-KR-XXXL,kurta,3XL,B09CT4QFXS,Shipped,1,INR,487.0,THANE,MAHARASHTRA,400607.0,IN,IN Core Free Shipping 2015/04/08 23-48-5-108,False,1,Free Shipping
1775,408-2713115-5349131,2022-04-29,Shipped,Amazon,Amazon.in,Expedited,JNE3461,JNE3461-KR-XS,kurta,XS,B08B3Z6T6W,Shipped,1,INR,363.0,ARAKONAM,TAMIL NADU,631002.0,IN,IN Core Free Shipping 2015/04/08 23-48-5-108,False,1,Free Shipping
1776,171-9911641-7447562,2022-04-29,Shipped,Amazon,Amazon.in,Expedited,SET324,SET324-KR-NP-S,Set,S,B09NQ4CZ65,Shipped,1,INR,635.0,INDUSTRIAL AREA DEVAKATHIKOPPA AND SIDLIPURA,KARNATAKA,577204.0,IN,IN Core Free Shipping 2015/04/08 23-48-5-108,False,1,Free Shipping
